# Digitised from Results.zip:Comp_ang_B2_Ae.png	by R. Lehmensiek 08/08/2019	and normalized to represent D_g=15.3 m.
# f [MHz]	eta_ap [%]
950.0	85.7
955.0	85.5
964.9	85.8
974.8	85.4
985.3	86.0
990.2	85.8
995.2	85.9
998.9	86.1
1006.3	86.4
1008.8	86.2
1015.0	86.2
1019.9	86.4
1024.3	86.4
1030.4	86.0
1034.8	85.9
1039.7	86.2
1044.1	86.2
1050.2	86.0
1055.8	86.0
1060.1	86.3
1065.1	86.3
1070.0	86.3
1079.3	87.0
1084.9	87.0
1089.2	86.9
1095.4	87.0
1099.7	87.2
1110.3	86.7
1114.6	86.8
1120.8	86.9
1124.5	86.2
1130.1	86.2
1135.6	86.6
1140.0	86.7
1145.5	86.6
1149.3	87.2
1154.8	87.2
1159.8	87.3
1164.7	87.2
1170.9	87.2
1175.9	87.3
1180.2	87.3
1184.5	87.0
1188.9	87.0
1195.0	87.1
1200.0	87.0
1205.6	86.8
1208.7	86.8
1216.7	86.9
1226.6	86.9
1232.8	87.3
1243.3	87.4
1253.2	87.6
1264.3	87.4
1271.2	87.4
1275.5	87.3
1284.1	87.2
1303.9	87.3
1315.1	87.6
1326.2	87.8
1339.2	88.0
1346.0	88.0
1349.7	87.9
1358.4	87.8
1365.8	87.7
1369.5	87.6
1380.7	87.9
1390.6	88.0
1395.5	88.2
1399.9	88.3
1409.1	88.4
1413.5	88.7
1422.1	88.7
1424.6	88.6
1430.2	88.6
1433.9	88.7
1439.5	88.7
1444.4	88.6
1455.6	88.9
1466.7	88.8
1474.1	89.1
1484.0	89.0
1489.6	89.0
1496.4	89.0
1498.9	88.9
1506.3	88.8
1510.0	88.9
1516.8	88.9
1519.9	88.7
1525.5	88.6
1528.6	88.8
1535.4	88.9
1538.5	88.7
1545.3	88.7
1550.2	88.8
1555.2	88.6
1558.9	88.3
1565.7	88.3
1568.8	88.3
1576.8	88.2
1582.4	88.1
1588.6	88.2
1600.4	87.8
1610.3	88.0
1620.8	87.8
1626.3	87.9
1629.7	87.9
1636.2	87.6
1640.0	87.5
1644.3	87.6
1649.9	87.6
1654.2	87.4
1661.6	87.2
1665.9	87.3
1670.0	87.3
1675.2	87.0
1680.2	86.9
1684.5	87.0
1688.2	87.0
1695.6	86.7
1699.4	86.6
1703.7	86.6
1709.9	86.4
1714.2	86.1
1720.4	85.9
1725.3	85.8
1730.3	85.6
1734.0	85.2
1740.8	84.9
1745.1	84.9
1751.3	84.6
1760.1	83.4
